dist_m,Rn,Rn_err,xj,I
0,168.74,17.14,0,0
18.72,156.28,16.61,20,0.568537964
90.81,131.98,15.43,40,1.384938772
132.97,124.22,15.07,60,1.09946785
146.27,112.6,14.48,80,1.295033982
163.26,122.57,15.12,100,1.5067377
209.93,125.51,15.35,120,0.621566693
232.4,102.24,14.06,140,0.799360844
245.09,117.03,15.01,160,5.354891455
259.8,88.97,15.13,180,0.824767513
282.58,61.33,13.03,200,1.139928755
308.01,82.46,14.79,220,0
344.42,75.08,14.3,240,0
364.79,71.81,14.11,260,0
374.6,75.64,14.49,280,0
403.76,97.25,14.6,300,0
414.85,93.43,14.27,320,0.016467756
449.61,76.64,14.29,340,0.020351599
464.27,88.33,15.09,360,0.300673696
471.15,85.87,14.83,380,3.196202747
491.28,83.79,14.61,400,14.22441302
513.75,84.42,14.58,420,0
531.08,75.07,13.81,440,0
551.16,95.85,15.25,460,5.555036313
561.14,69.89,13.27,480,0.773414845
571.99,52.14,9.67,500,0.246893907
601.47,50.07,9.46,520,0.01719839
618.66,62.27,13.71,540,0
639.27,55.46,13.03,560,0
665.09,89.78,15.76,580,0
689.66,69.9,14.07,600,0
705.53,63.94,13.5,620,0
760.24,72.37,14.06,640,0
790.43,82.2,14.75,660,14.89631966
851.27,52.14,12.2,680,0
876.56,64.19,14.5,700,0
899.44,63.67,14.38,720,1.511657866
917.77,66.26,14.53,740,1.570800992
946.43,62.6,14.14,760,2.859985455
984.83,65.93,14.36,780,1.337612108
1033.42,38.45,11.68,800,3.14533565
1079.63,44.58,12.23,820,0
1192.87,46.04,12.3,840,0
1252.23,38.18,11.44,860,0
1278.33,31.53,10.66,880,4.467581347
1300,42.95,12.48,900,0.615131382
1313.45,26.69,10.73,920,1.697476873
1369.95,30.96,11.29,940,0.024877434
1412.34,40.19,12.37,960,0
,,,980,0
,,,1000,0
,,,1020,0
,,,1040,0
,,,1060,0
,,,1080,0.109215535
,,,1100,0.463046293
,,,1120,0.485748568
,,,1140,0.508445056
,,,1160,0.532177274
,,,1180,0.54639879
,,,1200,1.586454708
,,,1220,0
,,,1240,0
,,,1260,0
,,,1280,0
,,,1300,1.930867546
,,,1320,0
,,,1340,0
,,,1360,0
,,,1380,3.271231929
,,,1400,3.652865889